08/09/2025 02:03 | Boot | 0h 0m 43s
08/10/2025 00:57 | Boot | 0h 2m 7s
08/10/2025 12:27 | Boot | 0h 1m 41s
08/10/2025 16:34 | Boot | 0h 2m 19s
08/10/2025 19:23 | Boot | 0h 2m 31s
08/10/2025 19:29 | Boot | 0h 2m 37s
08/10/2025 19:35 | Boot | 0h 2m 35s
08/10/2025 19:41 | Boot | 0h 2m 48s
08/10/2025 19:47 | Boot | 0h 0m 9s
08/10/2025 20:16 | Boot | 0h 3m 42s
08/10/2025 20:26 | Boot | 0h 4m 21s
08/10/2025 20:32 | Boot | 0h 3m 54s
08/10/2025 20:39 | Boot | 0h 4m 5s
08/10/2025 20:52 | Boot | 0h 4m 37s
08/10/2025 21:00 | Boot | 0h 4m 45s
08/10/2025 21:08 | Boot | 0h 4m 47s
08/10/2025 21:13 | Boot | 0h 4m 21s
08/10/2025 21:20 | Boot | 0h 4m 49s
08/10/2025 21:28 | Boot | 0h 4m 4s
08/10/2025 21:34 | Boot | 0h 4m 31s
08/10/2025 21:39 | Boot | 0h 4m 52s
08/10/2025 21:44 | Boot | 0h 3m 51s
08/10/2025 21:54 | Boot | 0h 4m 1s
08/10/2025 22:03 | Boot | 0h 3m 52s
08/10/2025 22:11 | Boot | 0h 4m 8s
08/11/2025 22:19 | Boot | 0h 4m 0s
08/11/2025 22:26 | Boot | 0h 3m 33s
08/11/2025 22:43 | Boot | 0h 3m 34s
08/11/2025 22:52 | Boot | 0h 3m 38s
